month,merchants.added,merchants.dropped,net.added.merchants,cummulative.merchants,monthly.drop.rate
200401,174,,174,174,
200402,14,12,2,176,6.9%
200403,17,10,7,183,5.7%
200404,15,8,7,190,4.4%
200405,10,12,-2,188,6.3%
200406,16,3,13,201,1.6%
200407,19,7,12,213,3.5%
200408,16,4,12,225,1.9%
200409,27,10,17,242,4.4%
200410,51,14,37,279,5.8%
200411,44,20,24,303,7.2%
200412,38,14,24,327,4.6%
200501,45,7,38,365,2.1%
200502,47,10,37,402,2.7%
200503,56,21,35,437,5.2%
200504,54,12,42,479,2.7%
200505,47,17,30,509,3.5%
200506,43,12,31,540,2.4%
200507,56,10,46,586,1.9%
200508,44,16,28,614,2.7%
200509,45,6,39,653,1.0%
200510,48,13,35,688,2.0%
200511,35,22,13,701,3.2%
200512,0,0,0,701,0.0%
200601,40,16,24,725,2.3%
200602,41,13,28,753,1.8%
200603,0,0,0,753,0.0%
200604,26,16,10,763,2.1%
200605,47,15,32,795,2.0%
200606,0,0,0,795,0.0%
200607,26,21,5,800,2.6%
200608,18,16,2,802,2.0%
200609,0,0,0,802,0.0%
200610,0,10,-10,792,1.2%
200611,0,13,-13,779,1.6%
200612,0,0,0,779,0.0%
200701,0,17,-17,762,2.2%
200702,2,17,-15,747,2.2%
200703,0,0,0,747,0.0%
200704,0,30,-30,717,4.0%
200705,13,53,-40,677,7.4%
200706,0,0,0,677,0.0%
200707,0,8,-8,669,1.2%
200708,0,13,-13,656,1.9%
200709,0,0,0,656,0.0%
200710,0,17,-17,639,2.6%
200711,0,29,-29,610,4.5%
200712,0,0,0,610,0.0%
200801,0,90,-90,520,14.8%
200802,0,56,-56,464,10.8%
200803,0,0,0,464,0.0%